start	end	text
865760	871080	То есть мы в любой момент из родительской крутины сможем узнать, какие у нее есть дочерние,
871080	875000	их там, например, отменить, узнать какой-то дополнительный статус и так далее.
875000	878320	Опять же, чуть позже сегодня в рамках лекции мы увидим примеры.
878320	883880	И вот такая взаимосвязь позволяет нам грамотно устроить, точнее,
883880	888680	выстроить такую каскадную модель отмены всех крутин или обработку ошибок.
888680	892160	Опять же, чуть позже в рамках лекции мы посмотрим, как это делается.
892880	895760	Что еще из плюсов для нас, как для Android разработчиков?
895760	899040	У нас есть отличная полноценная поддержка в Android Jetpack.
899040	906800	То есть практически любая библиотека из Jetpackа от Google уже имеет поддержку крутины,
906800	910800	и мы можем этим пользоваться уже довольно давно, мне кажется пару лет точно.
910800	912920	Идем дальше.
912920	918640	Вот до этого мы просто обсудили, что такое крутины, узнали, как они,
918640	921800	точнее, где они могут выполняться в наших suspend функциях.
921800	928560	Но получается так, что есть suspend функции, эти suspend функции могут вызывать другие suspend функции,
928560	930920	но с чего-то же все это должно начинаться, правильно?
930920	935240	Вот. И все это начинается с двух ключевых элементов.
935240	942440	Первое это крутин-билдеры, по названию можно догадаться, что это такие элементы нашего
942440	945880	аппи из крутин, позволяющие создать новые крутины.
945880	950040	Вот. Но особенность в том, что просто так их создать нельзя,
950040	952360	для этого им нужен крутин-скоп.
952360	956160	И давайте как раз с этими двумя элементами мы познакомимся поближе.
956160	959800	Начнем с билдеров. Здесь я перечисляю, наверное,
959800	964600	сам на из них, причем, мне кажется, главный из них это launch и async, run blocking мы
964600	968880	обсудим немножечко всего лишь. Давайте немного посмотрим на примеры.
968880	972800	Начнем с launch. Launch концептуально очень похоже на поток.
972800	979640	Если посмотрите на слайд, увидите, что мы здесь пытаемся запустить две крутины
979640	985640	с помощью launch. Одна крутина у нас делается на секунду и печатает строчку,
985640	988200	вторая делается на две секунды и тоже печатает строчку.
988200	996520	Вот здесь мы в рамках suspend функции main создали две новых крутины, две дочерних крутины.
996520	1003080	Вот. И если я здесь поменяю launch на thread, концептуально реально будет одно и то же.
1003080	1008120	То есть мы что-то запустили, отправили свободное плавание, там что-то выполним,
1008120	1010120	но нам не важен результат. Вот это вот такая концепция.
1010120	1016040	Запустили какую-то крутину, не возвращающую нам результат, а что-то делающее у себя полезное.
1016040	1024160	Вот. Async же, в свою очередь, это скорее крутина, которая возвращает нам результат,
1024160	1027480	какой-то результат в будущем, отложенный результат.
1027480	1031560	Вот. Аналогию можно привести с executor и функции submit,
1031560	1034600	которые мы рассматривали на предыдущей лекции по многопоточности.
1035480	1039880	Это функция, я имею в виду функция async, она возвращает defret,
1039880	1044240	который как раз и является таким результатом отложенной операции.
1044240	1047840	И здесь мы делаем ровно то же самое, что в предыдущем слайде,
1047840	1050680	только не печатаем строчку, а возвращаем ее после дилея.
1050680	1056400	И в самой последней строчке мы дожидаемся ответа от двух наших крутин.
1056400	1062920	Вот. Но главная особенность в отличие от потоков и executor сервиса,
1062920	1068480	через который мы могли бы ссабмитить задачку, здесь мы крутины приостанавливаем.
1068480	1073560	То есть мы можем всю эту функцию даже вызвать на Main-потоке и не особо беспокоиться о том,
1073560	1078440	что мы как-то сильно заблочим основной поток и не дадим возможность ему отрисовывать наш UI.
1078440	1084280	Потому что сначала мы довольно практически моментально создадим две новых крутины.
1084280	1088560	Эти крутины могут выполняться на Main-потоке, здесь нам это особо не важно.
1088560	1098240	Дилей, кстати, это тоже одна из со спин функций, которая не блокирует поток текущий.
1098240	1108720	Она приостанавливает выполнение текущим потоком и потом возвращает в активное действие текущий
1108720	1113000	поток спустя то время, которое было передано в функции дилей.
1113000	1117840	А с самой последней строчкой мы также приостанавливаем наших крутины, дожидаемся ответа
1117840	1121720	и сама вся функция Main вернет нам результат.
1121720	1130680	Run blocking – это такой особенный вид крутин билдера. Его отличие в том, что он блокирует основной,
1130680	1136320	ну или вообще тот поток, на котором был запущен, до тех пор, пока все, что находится внутри его
1136320	1143360	action кода, то есть внутри лямбдочки, который мы ему передаем, до тех пор он будет заблокирован,
1143360	1147080	если ждет выполнения той или иной suspend функции или крутины.
1147080	1154280	В чем еще важная особенность, которую я не назвал, но буквально сейчас это обсудим.
1154280	1162920	На примере с и Async и с Launch я самой первой строчкой вызываю функцию крутин scope. Почему?
1162920	1169240	Повторюсь, при создании крутин есть два важных элемента, которые стоит рассмотреть.
1169240	1176520	Это крутин билдеры, а второе это крутин scope. Так вот, билдеры типа Async и Launch требуют
1176520	1182600	крутин scope для запуска. По факту они вообще являются extension функциями крутин scope,
1182600	1191040	и это неспроста. Как раз таки крутин scope нам нужен для того, чтобы быть некой входной точкой в
1191040	1197000	крутины и явно обозначать ограничительный какой-то момент, ограничительный фактор того,
1197000	1203480	где наши крутины могут работать и сколько по времени, грубо говоря. То есть мы явно
1203480	1210320	контролируем жизненный цикл наших крутин с помощью крутин scope. И вот в самих extension
1210320	1214680	функциях у нас есть довольно много полезных параметров, которые мы точно будем использовать
1214680	1221440	как на протяжении лекции, так и дальше уже в ходе нашей практики. Первое это крутин контекст.
1221440	1229640	Довольно важная штука, позволяющая нам из одной крутины передавать данные другой дочерней крутина.
1230120	1235960	Так как это крутин билдеры, у нас есть возможность от родительской крутины передать всю необходимую
1235960	1243000	информацию дальше дочерним крутином. Ровно для этого и нужен крутин контекст. Дальше есть параметр
1243000	1248760	start, крутин start. Он позволяет нам регулировать способ запуска. То есть мы можем крутину создать
1248760	1255080	не сразу, а лениво. Например, запланировать какую-то задачку в будущем и затем ее в какой-то
1255080	1260680	момент запустить. Опять же в теме по многопоточности я приводил пример, как я это делал с помощью
1260680	1267080	concurrent hash map и туда клал наши отложенные задачки. И только потом в какой-то момент запускал.
1267080	1273480	Ну и конечно же третьим параметром мы передаем саму функцию блок, в которой и будем выполнять
1273480	1280280	все то, что нужно выполнить текущей крутине. Важно тут подметить, что она является suspend.
1280280	1287880	Благодаря этому мы сможем внутри блок функции вызывать другие suspend функции и приостанавливать
1287880	1296480	наши крутины. В завершение по этой теме важно усвоить то, что крутин scope является входной точкой в
1296480	1303000	крутина. То есть не имея крутин scope у вас практически не получится создать нормальные крутины в самом начале.
1303000	1310000	То есть выйти из этого нашего обычного мира с обычными функциями в мир крутин. Так что мы
1310000	1315560	сегодня увидим много примеров, где то тут, то там мы достаем наш крутин scope, либо создаем его
1315560	1320720	сами вручную и на основе этого крутин scope создаем наши первые крутины. Вообще крутин scope
1320720	1328400	довольно важная вещь и такая фундаментальная, с нее все и начинается. Что дальше? Дальше то, что наш
1328400	1334920	крутин scope знает про остальные крутины. Из него информацию можно вытащить через крутин контекст и
1334920	1341960	как-то косвенно повлиять на другие крутины, либо вытащить мета информацию. В общем сценариев
1341960	1348240	использованы довольно много. И конечно же у крутин scope есть возможность отменить все дочерние крутины,
1348240	1355680	которые были созданы в рамках него. Сам интерфейс крутин scope довольно минимален, в общем у него
1355680	1360600	есть только возможность вытащить крутин контекст, но поверьте нам этого будет достаточно, как раз из
1360600	1367040	крутин контекста можно вытащить много полезной информации. Давайте попробуем его создать.
1367040	1373080	Создадим наш первый крутин scope сами вручную. Делается это довольно просто, также как и любой
1373080	1377720	другой объект. Мы можем создать его с помощью конструктора, передать ему либо пустой крутин
1377720	1385400	контекст, либо вообще ничего. Из-под коробки как раз и будет создан mt-cruitint-context. А на основе
1385400	1392080	него дальше мы запускаем, ну во-первых создаем, а потом мы запускаем наши крутины. Ровно это я и
1392080	1398960	сделал на слайде. Создал scope, на основе scope создал нашу первую крутину. Вот там может быть что-то
1398960	1406600	полезное сделал, а сама функция launch возвращает нам job. Давайте поймем, что такое job. Job это
1406600	1412040	абстракция над жизненным циклом крутины. У нее есть возможность отслеживать то, в каком сейчас
1412200	1417480	состояние она находится и опять же косвенно как-то на нее влиять с помощью API, которая
1417480	1423720	предоставляет интерфейс job. Тут пишу, что как раз job имеет функцию отмены, это мы будем использовать
1423720	1430320	дальше в примерах. И что еще интересно, job является элементом крутин контекста. Как помните,
1430320	1437600	при создании крутин мы передаем крутин контекст, и вот job является одним из элементов крутин контекста,
1437600	1443680	то есть он является ее частью. Вот как раз явно здесь это и показано. Мы видим, что есть объявлен
1443680	1450520	интерфейс job, он наследуется от крутин контекст.element, соответственно, является элементом крутин контекста,
1450520	1456040	и есть полезное API для нас. Первые три свойства — это возможность вытащить информацию о том,
1456040	1463960	в каком состоянии сейчас находится job и соответственно сама крутина, которой он относится. А также есть
1463960	1470840	функция start, позволяющая нам запустить крутину до этого созданного лениво, и функцию cancel,
1470840	1475640	которая позволит нам отменить текущую крутину и все ее дочерние крутины, как мы поймем дальше.
1475640	1483160	Также есть функция join, это практически аналогия тому, что есть у потоков, когда мы у объекта
1483160	1489720	потока можем вызывать join и дождаться выполнения текущего потока ровно то же самое крутиной. Мы
1489720	1494920	можем, имея ссылку на job, заджойниться к ней и дождаться завершения той или иной крутины.
1494920	1501360	Окей, давайте попробуем подробно рассмотреть, в каких состояниях может быть наша крутина. Первое,
1501360	1506520	просто разберем все стейты, которые тут есть. Это new, когда мы крутину только создали, active,
1506520	1513200	когда она уже в активной фазе действия, completing и completed, соответственно, когда она пытается
1513200	1517800	завершиться или уже завершена, и то же самое с отменой. То есть мы либо в процессе отмены,
1517800	1525480	либо уже полностью все отменили и крутина уже не активна. И вот информацию о стейтах мы просто
1525480	1533720	так сами не вытащим, но понимание того, в каком состоянии мы сейчас находимся, мы можем вытащить
1533720	1538280	с помощью наших properties, с помощью наших свойств. Из active, из cancelled, из completed. Попробую
1538280	1543360	продемонстрировать как раз на примере. То есть вот допустим, мы только создали нашу крутину,
1543360	1548920	она сейчас находится в статусе new, соответственно, все флажочки будут возвращать false. Если же мы
1548920	1556920	перешли в активную фазу действия, то наша крутина выйдет в состояние active, а флажочек из active
1556920	1561760	будет возвращать true. Итак, по аналогии, на самом деле мы можем разобрать все стейты в момент
1561760	1567800	завершения, ну попытки завершения, потом в момент непосредственного завершения, дальше в момент
1567800	1576800	отмены крутин, и после того, как крутина полностью завершилась, мы увидим, что и cancelled true,
1576800	1582600	и completed true, потому что мы ее попытались отменить и успешно это сделали. Так что с помощью
1582600	1587240	флажочков можно косвенно понять, что сейчас происходит с крутиной и выполнить какую-то бизнес
1587240	1597080	логику вокруг этого. Давайте попробуем рассмотреть, как работает JDOB на примерах. Опять же, вернемся
1597080	1604400	к нашему примеру из предыдущего слайда, где мы просто запускаем наши две крутины. Здесь мы добавляем,
1604400	1611080	как мы теперь знаем, launch возвращает job, поэтому можем присвоить job1 и job2 к нашим крутинам,
1611080	1619040	после чего мы дождемся выполнения этих двух их обеих крутин и напечатаем значение, свойств
1619040	1625240	из наших job. Соответственно, в конце мы увидим и строчки, которые были напечатаны в крутинах,
1625240	1632000	и статусы каждой из крутин. Из active false, потому что мы крутину уже дождались, и она полностью
1632000	1638440	выполнила все, что нужно, а из completed true, по яным признакам, крутина завершилась, и из completed
1638440	1646360	тоже должен быть true. Дальше мы рассмотрим, как еще можно JDOB использовать в коде. Главная его
1646360	1653320	особенность в том, что есть возможность трека, текущее состояние крутины, ее жизненный цикл. Как я
1653320	1660400	уже сказал ранее, job является элементом крутин контекста, а что там есть еще? Опять же, мы
1660400	1669640	поняли, что в крутин скопе есть крутин контекст, и job является крутин контекстом, а что еще? Что
1669640	1676240	еще там может находиться? Давайте вообще рассмотрим сам интерфейс крутин контекста. Сам по себе
1676240	1683200	контекст — это такой универсальный способ группировать элементы между собой. Что главное,
1683200	1689880	стоит выяснить, что крутин контекст передается от родителя к дочерним крутинам, и концептуально
1689880	1695120	он очень похож на map или set, то есть мы можем обратиться к крутин контексту и вытащить из
1695120	1703920	него элементы по ключу, а ключом будет являться как раз один из интерфейсов, который наследуется от
1703920	1708960	крутин контекста точка элемент. То есть мы можем передать какой-то элемент и вытащить текущее
1708960	1715320	значение по ключу. Крутин контекст определяет поведение крутин, то есть из него мы вытащим
1715320	1720240	информацию, на каком потоке, например, нужно выполнять ту или иную крутину, какое у нее название,
1720240	1727000	как мы будем обрабатывать исключения и так далее. То есть это важная контекстная информация,
1727000	1731920	которая передается от одной крутини к другой. Соответственно, он содержит набор элементов,
1731920	1737040	которые мы можем вытащить внутри крутин и как-то с ними работать, и есть возможность
1737040	1743000	переопределять элементы, если нам это потребуется. Сам фреймворк крутин, он это делает на регулярной
1743000	1748480	основе, каждый раз, когда вы создаете новую крутину, он передает контекст от родительских
1748480	1753840	дочерней и переопределяет некоторые крутины элементы внутри, например, как раз таки джоб,
1753840	1761280	мы это посмотрим чуть позже. Из базовых элементов я бы выделил как раз джоб, крутин name, который нам
1761280	1768840	часто будет необходим просто для дебаг информации или просто если мы хотим вытащить информацию о том,
1768840	1774040	где мы сейчас находимся, в какой крутине, вот это можно сделать через крутин name. Есть крутин
1774040	1779080	dispatcher, сегодня его рассмотрим, он необходим для переключения потоков. Есть крутин exception
1779080	1786160	handler, который необходим нам для обработки исключений, тоже его сегодня обсудим. Как я уже
1786160	1791720	сказал ранее, есть элемент, который является крутин контекстом, мы в принципе не ограничены тем,
1791720	1799280	что есть в библиотеке изначально, мы можем объявить свой элемент крутин контекста и его
1799280	1806280	затащить в текущий крутин контекст в целом. Здесь особо этого делать не будем, это нужно только в
1806280	1810680	конкретных случаях, просто знайте, что у вас есть такая возможность по аналогии с крутин name,
1810680	1819240	крутин dispatcher, вы можете создать свой необходимый вам для работы крутин. А здесь же смотрите,
1819240	1825000	попробую продемонстрировать такой пример. Так как у нас крутин name является элементом крутин
1825000	1829800	контекста, я попробую это сделать, сработать с крутин name как с элементом крутин контекста,
1829800	1835920	а потом вытащить из этого крутин контекста по ключу нужное мне значение. То есть первой строчкой я
1835920	1841080	создаю крутин name, потом к этому же крутин name я обращаюсь к контексту и пытаюсь вытащить
1841080	1848520	значение имени по ключу. И дальше вытаскиваю как раз имя, а если бы я хотел вытащить какой-то
1848520	1854000	другой крутин элемент, например job, которого я еще туда не передавал, то логично, что я получу
1854000	1861840	null. Вот собственно так и происходит. Что дальше? Контексты, как я уже сказал ранее, можно объединять
1861840	1869240	либо как-то видоизменять. Это и происходит в момент создания крутин. Мы пытаемся получить
1869240	1874640	текущую мапу этих элементов, потом с ними выполняем определенную логику с помощью функций
1874640	1881240	fault или дополнительных функций, которые заложены внутри имплементации создания крутин. Мы же можем
1881240	1887000	это использовать у себя в какой-то бизнес логике, например, захотели на основе текущего крутин контекста
1887000	1892160	получить копию, но с измененными элементами внутри. Мы это можем сделать ровно так же, как мы это
1892160	1899960	обычно делаем с мапой. По ключу обращаемся, переименовываем, точнее, переназначаем какой-то
1899960	1908920	элемент по ключу и идем дальше. Вот ключевой момент, что в билдерах в момент создания наших
1908920	1916760	крутин происходит ровно то, что я описал. Берется из родительской крутины текущий крутин-контекст,
1916760	1922640	он используется практически полностью для создания новой дочерней крутины, только еще
1922640	1928920	создается новый job. Мы это рассмотрим буквально на следующих слайдах. Давайте глянем, как это
1928920	1940280	выглядит. Смотрите, сначала я пытаюсь создать крутин name и новый крутин элемент job. Их связку,
1940280	1946560	то есть как раз через плюсик я создаю новый крутин-контекст. Я пытаюсь передать эти данные
1946560	1953680	в мою новую только что созданную крутину через крутин билдер лаунч. А дальше пытаюсь понять,
1953680	1959040	а что же у меня с элементами текущего крутин-контекста. Так как я нахожусь внутри
1959040	1964280	скопа, у меня есть возможность вытащить крутин-контекст и дальше как мапе обратиться и по ключу вытащить нужное
1964280	1972120	мне значение. Так вот, мы видим, что крутин name в моем случае будет печатать то имя, которое я
1972120	1978920	изначально заложил. Я получу true. Но в случае, если я захочу получить job, соответствия не будет.
1978920	1987000	Почему? Потому что при создании новой крутины берется весь крутин-контекст текущий, создается
1987000	1994480	новый job и присваивается по ключу интерфейса job вот в этот новый крутий-контекст. Главное,
1994480	2001000	что нужно запомнить, что при вызове и лаунч и ассинк сама система, то есть сам фреймворк,
2001000	2008480	будет за вас создавать job и делать его наследником всех новых крутин внутри только что созданной.
2008480	2014400	Получается последней строчкой, я пытаюсь вытащить список детей у текущей крутины,
2014400	2022640	и первый же элемент будет равен тому job, который я создал ранее. Как раз-таки это сигнализирует о том,
2022640	2032800	что я вижу то, что есть job, который был создан за меня, а есть job, который создал я сам,
2032800	2038880	и он будет являться только дочерним, точнее, родительским элементом для только что созданного
2038880	2049600	job. Этот пример еще разберем чуть дальше, позже, когда будем обсуждать тему отмены крутин и
2049600	2058040	обработки ошибок, потому что там создание job вместо нас играет ключевую роль и поймем почему.
2058040	2065640	Итого, у нас крутин-билдеры создают новый job на основе родительского и из крутин-контекста,
2065640	2071960	а в верхнем уровне вся наша картина выглядит следующим образом. У нас сначала должен быть
2071960	2077280	крутин-скоп, на этом крутин-скопе у нас есть возможность создать с помощью крутин-билдеров
2077280	2084040	наши крутины. В лекции и вообще в практике мы будем часто использовать либо launch, либо async.
2084040	2090480	Дальше внутри этих крутин-билдеров у нас есть возможность работать со suspend функцией,
2090480	2095440	в рамках которой мы можем вызывать другие suspend функции. Тут уже начался такой
2095440	2101400	мир suspend функций, в котором мы можем выполнять всю нашу бизнес логику.
2101400	2112000	А крутин-функции могут вызывать другие части из библиотеки крутин, например,
2112000	2117600	крутин-скоп-билдеры, как крутин-скоп или vis-контекст, опять же их примеры мы посмотрим чуть
2117600	2123400	позже, но по факту они являются также suspend функциями, которые и можно вызывать только
2123400	2129320	внутри контекста других suspend функций. Так что в верхнем уровне, наверное, картина выглядит так.
2129320	2136720	И, наверное, с фундаментальной частью пока что на этом все. Дальше коснемся темы отмены,
2136720	2140560	а сейчас попробуем отвечать на вопросы, которые уже, наверное, скопились.
2140560	2153040	Первый вопрос. Часто ли сейчас используется RectJava? Давайте я отвечу так. Я, по-моему,
2153040	2158640	уже немного отвечал и раскрывал этот вопрос на предыдущей лекции. На мой взгляд, RectJava
2158640	2164800	все меньше и меньше используется на практике, где-то в бою в каких-то
2164800	2173880	продакшн-приложениях готовых. Почему? Потому что фреймворк крутин и фреймворк flow и stateflow,
2173880	2178480	которые мы сегодня немного рассмотрим, он практически полностью закрывает те возможности,
2178920	2185300	которые нам давал RectJava. В принципе, нет сейчас никакого смысла изучать целый отдельный фреймворк и
2185300	2191280	тащить огромный объем DexCount для того, чтобы решать те задачи, которые мы уже можем решать с помощью
2191280	2199760	крутин и flow. Так что мой ответ сейчас все реже и реже. И, наверное, такой совет всем начинающим
2199760	2205440	разработчикам все же подробно изучить именно тему крутин и flow, а в случае необходимости,
2205440	2212840	при хорошем погружении в тему flow вы сможете понять, как устроен RectJava, как второй, так и третий.
2212840	2219360	В общем, здесь проблем не будет. Но я бы сфокусировался все же на крутинах на текущий момент.
2219360	2224360	Как работает крутина под капотом, на каких трессах они выполняются? Все зависит от того, на каком
2224360	2228800	диспатчере и какой шедулер используется во время исполнения. Наверное, ключевая мысль,
2228800	2233920	возможно, которую я не очень хорошо донес в рамках первой части, есть потоки, есть крутины.
2234160	2240560	Крутины будут исполняться на каком-то потоке или на каком-то пулле потоков. Это зависит от диспатчера.
2240560	2248480	Они не блокируют поток, они только лишь позволяют эффективно использовать текущие потоки и давать им
2248480	2253960	возможность заниматься чем-то другим, пока наша крутина бездействует, она приостановлена.
2253960	2262760	Соответственно, вкратце, как работают крутины под капотом, я сегодня рассказывать не буду. Я
2262760	2270680	специально привел пару... Я, по-моему, привел в конце ролик от хорошего автора, который объясняет то,
2270680	2274800	как устроена крутина под капотом, во что они трансформируются, во что трансформируются
2274800	2281880	вообще с аспент-функцией, которые мы с вами написали. Там вся происходит магия с continuation,
2281880	2291560	там происходит вся магия с таким набором действий, где мы можем в любой момент, в точке
2291560	2298040	остановки приостановиться, запомнить то, в каком моменте мы остановились, закэшировать,
2298040	2303320	сохранить весь стэк функции и затем его прихранить, а после чего, как, знаете,
2303320	2307800	как какую-то дискету или как какое-то сохранение вытащить и возобновить именно в том месте,
2307800	2314080	где мы представились в прошлый раз. Эта вся концепция хорошо объясняется, по-моему,
2314080	2319560	в полторачасовом докладе, так что я решил, что в рамках текущей сегодняшней встречи объяснять
2319560	2325920	это особо не буду. Но ссылочку обязательно прикреплю. Вообще, в целом, есть набор хороших
2325920	2332240	роликов от Романа Елизарова, который является одним из авторов крутин. Он объяснял также
2332240	2337720	в своих докладах то, как устроена крутина под капотом и во что они трансформируются с помощью
